Month,Total_Bill,Type_Bill
Sep-18,37.26,Water_Bill
Oct-18,33.12,Water_Bill
Nov-18,20.7,Water_Bill
Dec-18,35.88,Water_Bill
Jan-19,27.6,Water_Bill
Feb-19,22.08,Water_Bill
Mar-19,20.7,Water_Bill
Apr-19,27.6,Water_Bill
May-19,26.22,Water_Bill
Jun-19,16.56,Water_Bill
Jul-19,37.26,Water_Bill
Aug-19,38.64,Water_Bill
Sep-19,45.55,Water_Bill
Oct-19,51,Water_Bill
Nov-19,44.3,Water_Bill
Dec-19,92.46,Water_Bill
Jan-20,92.46,Water_Bill
Feb-20,34.5,Water_Bill
Mar-20,NaN,Water_Bill
Sep-18,115.46,Electric_Bill
Oct-18,118.6,Electric_Bill
Nov-18,68,Electric_Bill
Dec-18,84.52,Electric_Bill
Jan-19,69.03,Electric_Bill
Feb-19,57.5,Electric_Bill
Mar-19,67.2,Electric_Bill
Apr-19,34,Electric_Bill
May-19,73.5,Electric_Bill
Jun-19,37.5,Electric_Bill
Jul-19,84.5,Electric_Bill
Aug-19,134.33,Electric_Bill
Sep-19,128.04,Electric_Bill
Oct-19,105.49,Electric_Bill
Nov-19,81.25,Electric_Bill
Dec-19,123.32,Electric_Bill
Jan-20,119.65,Electric_Bill
Feb-20,119.13,Electric_Bill
Mar-20,97.66,Electric_Bill
Sep-18,152.72,Total_Bill
Oct-18,151.72,Total_Bill
Nov-18,88.7,Total_Bill
Dec-18,120.4,Total_Bill
Jan-19,96.63,Total_Bill
Feb-19,79.58,Total_Bill
Mar-19,87.9,Total_Bill
Apr-19,61.6,Total_Bill
May-19,99.72,Total_Bill
Jun-19,54.06,Total_Bill
Jul-19,121.76,Total_Bill
Aug-19,172.97,Total_Bill
Sep-19,173.59,Total_Bill
Oct-19,156.49,Total_Bill
Nov-19,125.55,Total_Bill
Dec-19,215.78,Total_Bill
Jan-20,212.11,Total_Bill
Feb-20,153.63,Total_Bill
Mar-20,979.66,Total_Bill
